neighbourhood,crime_type,year,population,crime_count,crime_rate
Danforth,Assault,2018,10171,111,1091.338
Danforth,Assault,2019,10271,108,1051.504
Danforth,Assault,2020,10353,65,627.8373
Danforth,Auto Theft,2014,9890,11,111.2235
Danforth,Auto Theft,2015,9923,7,70.54318
Danforth,Auto Theft,2016,9981,6,60.11422
Danforth,Auto Theft,2017,10073,7,69.49271
Danforth,Auto Theft,2018,10171,13,127.8144
Danforth,Auto Theft,2019,10271,9,87.62535
Danforth,Auto Theft,2020,10353,7,67.61325
Danforth,Burglary,2014,9890,39,394.3377
Danforth,Burglary,2015,9923,40,403.1039
Danforth,Burglary,2016,9981,41,410.7805
Danforth,Burglary,2017,10073,29,287.8983
Danforth,Burglary,2018,10171,30,294.9562
Danforth,Burglary,2019,10271,40,389.446
Danforth,Burglary,2020,10353,40,386.3615
Danforth,Homicide,2014,9890,0,0.0
Danforth,Homicide,2015,9923,0,0.0
Danforth,Homicide,2016,9981,0,0.0
Danforth,Homicide,2017,10073,1,9.927529
Danforth,Homicide,2018,10171,0,0.0
Danforth,Homicide,2019,10271,0,0.0
Danforth,Homicide,2020,10353,0,0.0
Danforth,Robbery,2014,9890,19,192.1133
Danforth,Robbery,2016,9981,26,260.4949
Danforth,Robbery,2017,10073,35,347.4635
Danforth,Robbery,2018,10171,38,373.6112
Danforth,Robbery,2019,10271,26,253.1399
Danforth,Robbery,2020,10353,19,183.5217
Danforth,Shootings,2014,9890,0,0.0
Danforth,Shootings,2015,9923,0,0.0
Danforth,Shootings,2016,9981,0,0.0
Danforth,Shootings,2017,10073,1,9.927529
Danforth,Shootings,2018,10171,0,0.0
Danforth,Shootings,2019,10271,1,9.736151
Danforth,Shootings,2020,10353,0,0.0
Danforth,Theft Over,2014,9890,3,30.33367
Danforth,Theft Over,2015,9923,5,50.38799
Danforth,Theft Over,2016,9981,4,40.07615
Danforth,Theft Over,2017,10073,3,29.782590000000003
Danforth,Theft Over,2018,10171,5,49.15937
Danforth,Theft Over,2019,10271,4,38.9446
Danforth,Theft Over,2020,10353,2,19.31807
Danforth East York,Assault,2014,17529,68,387.9286
Danforth East York,Assault,2015,17614,55,312.2516
Danforth East York,Assault,2016,17718,41,231.4031
Danforth East York,Assault,2017,17889,78,436.0221
Danforth East York,Assault,2018,18084,79,436.8503
Danforth East York,Assault,2019,18258,85,465.5493
Danforth East York,Assault,2020,18427,56,303.9019
Danforth East York,Auto Theft,2014,17529,6,34.22899
Danforth East York,Auto Theft,2015,17614,8,45.418420000000005
Danforth East York,Auto Theft,2016,17718,12,67.72774
Danforth East York,Auto Theft,2017,17889,9,50.31025
Danforth East York,Auto Theft,2018,18084,13,71.88675
Danforth East York,Auto Theft,2019,18258,9,49.29346
Danforth East York,Auto Theft,2020,18427,16,86.82911
Danforth East York,Burglary,2014,17529,31,176.8498
Danforth East York,Burglary,2015,17614,24,136.2552
Danforth East York,Burglary,2016,17718,42,237.0471
Danforth East York,Burglary,2017,17889,25,139.7507
Danforth East York,Burglary,2018,18084,18,99.5355
Danforth East York,Burglary,2019,18258,24,131.4492
Danforth East York,Burglary,2020,18427,33,179.085
Danforth East York,Homicide,2014,17529,0,0.0
Danforth East York,Homicide,2015,17614,0,0.0
Danforth East York,Homicide,2016,17718,0,0.0
Danforth East York,Homicide,2017,17889,0,0.0
Danforth East York,Homicide,2018,18084,0,0.0
Danforth East York,Homicide,2019,18258,0,0.0
Danforth East York,Homicide,2020,18427,1,5.426819
Danforth East York,Robbery,2014,17529,2,11.40966
Danforth East York,Robbery,2016,17718,4,22.57591
Danforth East York,Robbery,2017,17889,8,44.72022
Danforth East York,Robbery,2018,18084,10,55.2975
Danforth East York,Robbery,2019,18258,8,43.81641
Danforth East York,Robbery,2020,18427,9,48.84137
Danforth East York,Shootings,2014,17529,0,0.0
Danforth East York,Shootings,2015,17614,0,0.0
Danforth East York,Shootings,2016,17718,0,0.0
Danforth East York,Shootings,2017,17889,2,11.18005
Danforth East York,Shootings,2018,18084,0,0.0
Danforth East York,Shootings,2019,18258,1,5.477051
Danforth East York,Shootings,2020,18427,0,0.0
Danforth East York,Theft Over,2014,17529,1,5.704832
Danforth East York,Theft Over,2015,17614,3,17.03191
Danforth East York,Theft Over,2016,17718,4,22.57591
Danforth East York,Theft Over,2017,17889,0,0.0
Danforth East York,Theft Over,2018,18084,3,16.58925
Danforth East York,Theft Over,2019,18258,8,43.81641
Danforth East York,Theft Over,2020,18427,5,27.1341
Don Valley Village,Assault,2014,27793,113,406.5772
Don Valley Village,Assault,2015,27794,134,482.1184
Don Valley Village,Assault,2016,27908,137,490.8987
Don Valley Village,Assault,2017,28249,126,446.0335
Don Valley Village,Assault,2018,28652,126,439.7599
Don Valley Village,Assault,2019,29022,143,492.7296
Don Valley Village,Assault,2020,29406,96,326.464
Don Valley Village,Auto Theft,2014,27793,48,172.7054
Don Valley Village,Auto Theft,2015,27794,29,104.3391
Don Valley Village,Auto Theft,2016,27908,27,96.74645
Don Valley Village,Auto Theft,2017,28249,28,99.11855
Don Valley Village,Auto Theft,2018,28652,27,94.23426
Don Valley Village,Auto Theft,2019,29022,22,75.80457
Don Valley Village,Auto Theft,2020,29406,34,115.6227
Don Valley Village,Burglary,2014,27793,80,287.8423
Don Valley Village,Burglary,2015,27794,47,169.1012
Don Valley Village,Burglary,2016,27908,66,236.4913
Don Valley Village,Burglary,2017,28249,32,113.2783
Don Valley Village,Burglary,2018,28652,58,202.4292
Don Valley Village,Burglary,2019,29022,32,110.2612
Don Valley Village,Burglary,2020,29406,30,102.02
Don Valley Village,Homicide,2014,27793,2,7.19605656100457
Don Valley Village,Homicide,2015,27794,0,0.0
Don Valley Village,Homicide,2016,27908,0,0.0
Don Valley Village,Homicide,2017,28249,0,0.0
Don Valley Village,Homicide,2018,28652,0,0.0
Don Valley Village,Homicide,2019,29022,0,0.0
Don Valley Village,Homicide,2020,29406,2,6.8013330000000005
Don Valley Village,Robbery,2014,27793,48,172.7054
Don Valley Village,Robbery,2016,27908,25,89.58005
Don Valley Village,Robbery,2017,28249,19,67.25901999999999
Don Valley Village,Robbery,2018,28652,35,122.1555
Don Valley Village,Robbery,2019,29022,34,117.1525
Don Valley Village,Robbery,2020,29406,23,78.21533000000001
Don Valley Village,Shootings,2014,27793,0,0.0
Don Valley Village,Shootings,2015,27794,1,3.597899
Don Valley Village,Shootings,2016,27908,1,3.5832019999999996
Don Valley Village,Shootings,2017,28249,1,3.5399480000000003
Don Valley Village,Shootings,2018,28652,1,3.490158
Don Valley Village,Shootings,2019,29022,3,10.33699
Don Valley Village,Shootings,2020,29406,0,0.0
Don Valley Village,Theft Over,2014,27793,10,35.98028
Don Valley Village,Theft Over,2015,27794,6,21.58739
Don Valley Village,Theft Over,2016,27908,8,28.66562
Don Valley Village,Theft Over,2017,28249,10,35.39948
Don Valley Village,Theft Over,2018,28652,11,38.391740000000006
Don Valley Village,Theft Over,2019,29022,14,48.23927
Don Valley Village,Theft Over,2020,29406,6,20.404
Dorset Park,Assault,2014,25526,135,528.8725
Dorset Park,Assault,2015,25599,168,656.2756
Dorset Park,Assault,2016,25758,196,760.9286
Dorset Park,Assault,2017,26055,193,740.7407
Dorset Park,Assault,2018,26402,201,761.306
Dorset Park,Assault,2019,26729,165,617.3071
Dorset Park,Assault,2020,27051,129,476.8769999999999
Dorset Park,Auto Theft,2014,25526,48,188.0436
Dorset Park,Auto Theft,2015,25599,39,152.3497
Dorset Park,Auto Theft,2016,25758,43,166.9384
Dorset Park,Auto Theft,2017,26055,43,165.0355
Dorset Park,Auto Theft,2018,26402,82,310.5825
Dorset Park,Auto Theft,2019,26729,60,224.4753
Dorset Park,Auto Theft,2020,27051,71,262.4672
Dorset Park,Burglary,2014,25526,91,356.4993
Dorset Park,Burglary,2015,25599,83,324.2314
Dorset Park,Burglary,2016,25758,71,275.6425
Dorset Park,Burglary,2017,26055,88,337.7471
Dorset Park,Burglary,2018,26402,66,249.9811
Dorset Park,Burglary,2019,26729,57,213.2515
Dorset Park,Burglary,2020,27051,71,262.4672
Dorset Park,Homicide,2014,25526,0,0.0
Dorset Park,Homicide,2015,25599,0,0.0
Dorset Park,Homicide,2016,25758,0,0.0
Dorset Park,Homicide,2017,26055,1,3.838035
Dorset Park,Homicide,2018,26402,0,7.575183999999999
Dorset Park,Homicide,2019,26729,2,7.48251
Dorset Park,Homicide,2020,27051,0,0.0
Dorset Park,Robbery,2014,25526,35,137.1151
Dorset Park,Robbery,2016,25758,58,225.1728
Dorset Park,Robbery,2017,26055,35,134.3312
Dorset Park,Robbery,2018,26402,37,140.1409
Dorset Park,Robbery,2019,26729,38,142.1677
Dorset Park,Robbery,2020,27051,24,88.72131
Dorset Park,Shootings,2014,25526,1,3.917574
Dorset Park,Shootings,2015,25599,4,15.62561
Dorset Park,Shootings,2016,25758,10,38.82289
Dorset Park,Shootings,2017,26055,7,26.86625
Dorset Park,Shootings,2018,26402,7,26.513140000000003
Dorset Park,Shootings,2019,26729,8,29.93004
Dorset Park,Shootings,2020,27051,7,25.87705
Dorset Park,Theft Over,2014,25526,6,23.50545
Dorset Park,Theft Over,2015,25599,10,39.064029999999995
Dorset Park,Theft Over,2016,25758,12,46.58747
Dorset Park,Theft Over,2017,26055,4,15.35214
Dorset Park,Theft Over,2018,26402,15,56.813880000000005
Dorset Park,Theft Over,2019,26729,8,29.93004
Dorset Park,Theft Over,2020,27051,5,18.4836
Dovercourt-Wallace Emerson-Junction,Assault,2014,37271,227,609.0526
Dovercourt-Wallace Emerson-Junction,Assault,2015,37618,224,595.4596
Dovercourt-Wallace Emerson-Junction,Assault,2016,38069,264,693.4777
Dovercourt-Wallace Emerson-Junction,Assault,2017,38608,265,686.3862
Dovercourt-Wallace Emerson-Junction,Assault,2018,39224,269,685.8046
Dovercourt-Wallace Emerson-Junction,Assault,2019,39811,289,725.93
Dovercourt-Wallace Emerson-Junction,Assault,2020,40355,256,634.37
Dovercourt-Wallace Emerson-Junction,Auto Theft,2014,37271,28,75.12543000000001
Dovercourt-Wallace Emerson-Junction,Auto Theft,2015,37618,30,79.74905
Dovercourt-Wallace Emerson-Junction,Auto Theft,2016,38069,30,78.80428
Dovercourt-Wallace Emerson-Junction,Auto Theft,2017,38608,32,82.88438000000001
Dovercourt-Wallace Emerson-Junction,Auto Theft,2018,39224,43,109.6268
Dovercourt-Wallace Emerson-Junction,Auto Theft,2019,39811,37,92.93914
Dovercourt-Wallace Emerson-Junction,Auto Theft,2020,40355,63,156.1145
Dovercourt-Wallace Emerson-Junction,Burglary,2014,37271,75,201.2288
Dovercourt-Wallace Emerson-Junction,Burglary,2015,37618,68,180.7645
Dovercourt-Wallace Emerson-Junction,Burglary,2016,38069,78,204.8911
Dovercourt-Wallace Emerson-Junction,Burglary,2017,38608,90,233.1123
Dovercourt-Wallace Emerson-Junction,Burglary,2018,39224,141,359.4738
Dovercourt-Wallace Emerson-Junction,Burglary,2019,39811,186,467.2076
Dovercourt-Wallace Emerson-Junction,Burglary,2020,40355,155,384.0912
Dovercourt-Wallace Emerson-Junction,Homicide,2014,37271,1,2.68305116578573
Dovercourt-Wallace Emerson-Junction,Homicide,2015,37618,3,7.974905000000001
Dovercourt-Wallace Emerson-Junction,Homicide,2016,38069,0,0.0
Dovercourt-Wallace Emerson-Junction,Homicide,2017,38608,2,5.180274
Dovercourt-Wallace Emerson-Junction,Homicide,2018,39224,0,5.098919
Dovercourt-Wallace Emerson-Junction,Homicide,2019,39811,2,5.023737000000001
Dovercourt-Wallace Emerson-Junction,Homicide,2020,40355,0,0.0
Dovercourt-Wallace Emerson-Junction,Robbery,2014,37271,55,147.5678
Dovercourt-Wallace Emerson-Junction,Robbery,2016,38069,42,110.326
Dovercourt-Wallace Emerson-Junction,Robbery,2017,38608,70,181.3096
Dovercourt-Wallace Emerson-Junction,Robbery,2018,39224,58,147.8687
Dovercourt-Wallace Emerson-Junction,Robbery,2019,39811,51,128.1053
Dovercourt-Wallace Emerson-Junction,Robbery,2020,40355,39,96.6423
Dovercourt-Wallace Emerson-Junction,Shootings,2014,37271,0,0.0
Dovercourt-Wallace Emerson-Junction,Shootings,2015,37618,2,5.316604
Dovercourt-Wallace Emerson-Junction,Shootings,2016,38069,1,2.626809
Dovercourt-Wallace Emerson-Junction,Shootings,2017,38608,3,7.770410000000001
Dovercourt-Wallace Emerson-Junction,Shootings,2018,39224,3,7.648378
Dovercourt-Wallace Emerson-Junction,Shootings,2019,39811,3,7.535606
Dovercourt-Wallace Emerson-Junction,Shootings,2020,40355,5,12.39004
Dovercourt-Wallace Emerson-Junction,Theft Over,2014,37271,10,26.830509999999997
Dovercourt-Wallace Emerson-Junction,Theft Over,2015,37618,8,21.26641
Dovercourt-Wallace Emerson-Junction,Theft Over,2016,38069,11,28.8949
Dovercourt-Wallace Emerson-Junction,Theft Over,2017,38608,8,20.72109
Dovercourt-Wallace Emerson-Junction,Theft Over,2018,39224,13,33.14297
Dovercourt-Wallace Emerson-Junction,Theft Over,2019,39811,8,20.09495
Dovercourt-Wallace Emerson-Junction,Theft Over,2020,40355,12,29.73609
Downsview-Roding-CFB,Assault,2014,36012,330,916.3612
Downsview-Roding-CFB,Assault,2015,36044,357,990.4561
Downsview-Roding-CFB,Assault,2016,36153,359,993.002
Downsview-Roding-CFB,Assault,2017,36830,408,1107.793
Downsview-Roding-CFB,Assault,2018,37553,427,1137.06
Downsview-Roding-CFB,Assault,2019,38282,437,1141.529
Downsview-Roding-CFB,Assault,2020,38981,357,915.8308
Downsview-Roding-CFB,Auto Theft,2014,36012,98,272.1315
Downsview-Roding-CFB,Auto Theft,2015,36044,100,277.4387
Downsview-Roding-CFB,Auto Theft,2016,36153,87,240.6439
Downsview-Roding-CFB,Auto Theft,2017,36830,83,225.3598
Downsview-Roding-CFB,Auto Theft,2018,37553,109,290.2564
Downsview-Roding-CFB,Auto Theft,2019,38282,162,423.1754
Downsview-Roding-CFB,Auto Theft,2020,38981,153,392.4989
Downsview-Roding-CFB,Burglary,2014,36012,87,241.5861
Downsview-Roding-CFB,Burglary,2015,36044,76,210.8534
Downsview-Roding-CFB,Burglary,2016,36153,52,143.8332
Downsview-Roding-CFB,Burglary,2017,36830,58,157.4803
Downsview-Roding-CFB,Burglary,2018,37553,86,229.0097
Downsview-Roding-CFB,Burglary,2019,38282,117,305.6267
Downsview-Roding-CFB,Burglary,2020,38981,88,225.751
Downsview-Roding-CFB,Homicide,2014,36012,1,2.7768521603909804
Downsview-Roding-CFB,Homicide,2015,36044,0,0.0
Downsview-Roding-CFB,Homicide,2016,36153,1,2.766022
Downsview-Roding-CFB,Homicide,2017,36830,2,5.430356
Downsview-Roding-CFB,Homicide,2018,37553,1,7.988709
Downsview-Roding-CFB,Homicide,2019,38282,3,7.836581
Downsview-Roding-CFB,Homicide,2020,38981,2,5.130705
Downsview-Roding-CFB,Robbery,2014,36012,69,191.6028
Downsview-Roding-CFB,Robbery,2016,36153,48,132.7691
Downsview-Roding-CFB,Robbery,2017,36830,63,171.0562
Downsview-Roding-CFB,Robbery,2018,37553,71,189.0661
Downsview-Roding-CFB,Robbery,2019,38282,62,161.95600000000002
Downsview-Roding-CFB,Robbery,2020,38981,55,141.0944
Downsview-Roding-CFB,Shootings,2014,36012,8,22.21482
Downsview-Roding-CFB,Shootings,2015,36044,8,22.1951
Downsview-Roding-CFB,Shootings,2016,36153,8,22.12818
Downsview-Roding-CFB,Shootings,2017,36830,12,32.58213
Downsview-Roding-CFB,Shootings,2018,37553,10,26.62903
Downsview-Roding-CFB,Shootings,2019,38282,12,31.34632
Downsview-Roding-CFB,Shootings,2020,38981,10,25.65352
Downsview-Roding-CFB,Theft Over,2014,36012,15,41.65278
Downsview-Roding-CFB,Theft Over,2015,36044,15,41.6158
Downsview-Roding-CFB,Theft Over,2016,36153,11,30.426240000000004
Downsview-Roding-CFB,Theft Over,2017,36830,21,57.018730000000005
Downsview-Roding-CFB,Theft Over,2018,37553,14,37.280640000000005
Downsview-Roding-CFB,Theft Over,2019,38282,14,36.57071
Downsview-Roding-CFB,Theft Over,2020,38981,23,59.00311
Dufferin Grove,Assault,2014,12130,83,684.2539
Dufferin Grove,Assault,2015,12190,79,648.0722
Dufferin Grove,Assault,2016,12273,85,692.5772
Dufferin Grove,Assault,2017,12406,82,660.9705
Dufferin Grove,Assault,2018,12574,108,858.9152
Dufferin Grove,Assault,2019,12720,80,628.9308
Dufferin Grove,Assault,2020,12858,79,614.4035
Dufferin Grove,Auto Theft,2014,12130,10,82.44023
Dufferin Grove,Auto Theft,2015,12190,9,73.83100999999999
Dufferin Grove,Auto Theft,2016,12273,7,57.03576999999999
Dufferin Grove,Auto Theft,2017,12406,9,72.54554
Dufferin Grove,Auto Theft,2018,12574,16,127.2467
Dufferin Grove,Auto Theft,2019,12720,4,31.44654
Dufferin Grove,Auto Theft,2020,12858,18,139.9907
Dufferin Grove,Burglary,2014,12130,28,230.8326
Dufferin Grove,Burglary,2015,12190,33,270.7137
Dufferin Grove,Burglary,2016,12273,26,211.8471
Dufferin Grove,Burglary,2017,12406,25,201.5154
Dufferin Grove,Burglary,2018,12574,46,365.8343
Dufferin Grove,Burglary,2019,12720,44,345.912
Dufferin Grove,Burglary,2020,12858,56,435.5265
Dufferin Grove,Homicide,2014,12130,0,0.0
Dufferin Grove,Homicide,2015,12190,0,0.0
Dufferin Grove,Homicide,2016,12273,0,0.0
Dufferin Grove,Homicide,2017,12406,0,0.0
Dufferin Grove,Homicide,2018,12574,0,7.952919
Dufferin Grove,Homicide,2019,12720,1,7.861635000000001
Dufferin Grove,Homicide,2020,12858,1,7.777259
Dufferin Grove,Robbery,2014,12130,30,247.3207
Dufferin Grove,Robbery,2016,12273,19,154.8114
Dufferin Grove,Robbery,2017,12406,9,72.54554
Dufferin Grove,Robbery,2018,12574,18,143.1525
Dufferin Grove,Robbery,2019,12720,29,227.9874
Dufferin Grove,Robbery,2020,12858,19,147.7679
Dufferin Grove,Shootings,2014,12130,0,0.0
Dufferin Grove,Shootings,2015,12190,0,0.0
Dufferin Grove,Shootings,2016,12273,2,16.29593
Dufferin Grove,Shootings,2017,12406,3,24.18185
Dufferin Grove,Shootings,2018,12574,2,15.90584
Dufferin Grove,Shootings,2019,12720,0,0.0
Dufferin Grove,Shootings,2020,12858,3,23.33178
Dufferin Grove,Theft Over,2014,12130,8,65.95219
Dufferin Grove,Theft Over,2015,12190,5,41.01723
Dufferin Grove,Theft Over,2016,12273,3,24.4439
Dufferin Grove,Theft Over,2017,12406,3,24.18185
Dufferin Grove,Theft Over,2018,12574,7,55.67043
Dufferin Grove,Theft Over,2019,12720,7,55.03145
Dufferin Grove,Theft Over,2020,12858,4,31.109040000000004
East End-Danforth,Assault,2014,21852,179,819.1469999999999
East End-Danforth,Assault,2015,21914,195,889.8421
East End-Danforth,Assault,2016,22062,170,770.5557
East End-Danforth,Assault,2017,22311,170,761.956
East End-Danforth,Assault,2018,22594,185,818.8015
East End-Danforth,Assault,2019,22862,187,817.9512
East End-Danforth,Assault,2020,23112,147,636.0332
East End-Danforth,Auto Theft,2014,21852,20,91.5248
East End-Danforth,Auto Theft,2015,21914,14,63.8861
East End-Danforth,Auto Theft,2016,22062,22,99.71897
East End-Danforth,Auto Theft,2017,22311,25,112.0524
East End-Danforth,Auto Theft,2018,22594,32,141.6305
East End-Danforth,Auto Theft,2019,22862,19,83.10734000000001
East End-Danforth,Auto Theft,2020,23112,26,112.4957
East End-Danforth,Burglary,2014,21852,80,366.0992
East End-Danforth,Burglary,2015,21914,90,410.6964
East End-Danforth,Burglary,2016,22062,77,349.0164
East End-Danforth,Burglary,2017,22311,63,282.3719
East End-Danforth,Burglary,2018,22594,79,349.6504
East End-Danforth,Burglary,2019,22862,62,271.1924
East End-Danforth,Burglary,2020,23112,62,268.2589
East End-Danforth,Homicide,2014,21852,3,13.728720483251
East End-Danforth,Homicide,2015,21914,0,0.0
East End-Danforth,Homicide,2016,22062,0,0.0
East End-Danforth,Homicide,2017,22311,0,0.0
East End-Danforth,Homicide,2018,22594,1,0.0
East End-Danforth,Homicide,2019,22862,0,0.0
East End-Danforth,Homicide,2020,23112,0,0.0
East End-Danforth,Robbery,2014,21852,34,155.5922
East End-Danforth,Robbery,2016,22062,40,181.3072
East End-Danforth,Robbery,2017,22311,38,170.3196
East End-Danforth,Robbery,2018,22594,32,141.6305
East End-Danforth,Robbery,2019,22862,27,118.0999
East End-Danforth,Robbery,2020,23112,27,116.8224
East End-Danforth,Shootings,2014,21852,1,4.57624
East End-Danforth,Shootings,2015,21914,0,0.0
East End-Danforth,Shootings,2016,22062,2,9.065361
East End-Danforth,Shootings,2017,22311,2,8.964188
East End-Danforth,Shootings,2018,22594,2,8.851908
East End-Danforth,Shootings,2019,22862,2,8.748141
East End-Danforth,Shootings,2020,23112,2,8.653513
East End-Danforth,Theft Over,2014,21852,4,18.30496
East End-Danforth,Theft Over,2015,21914,9,41.06964
East End-Danforth,Theft Over,2016,22062,11,49.85949
East End-Danforth,Theft Over,2017,22311,9,40.33885
East End-Danforth,Theft Over,2018,22594,8,35.40763
East End-Danforth,Theft Over,2019,22862,9,39.36663
East End-Danforth,Theft Over,2020,23112,5,21.63378
Edenbridge-Humber Valley,Assault,2014,15729,25,158.9421
Edenbridge-Humber Valley,Assault,2015,15829,23,145.3029
Edenbridge-Humber Valley,Assault,2016,15968,29,181.6132
Edenbridge-Humber Valley,Assault,2017,16366,27,164.9762
Edenbridge-Humber Valley,Assault,2018,16788,24,142.9593
Edenbridge-Humber Valley,Assault,2019,17207,34,197.594
Edenbridge-Humber Valley,Assault,2020,17619,32,181.6221
Edenbridge-Humber Valley,Auto Theft,2014,15729,26,165.2998
Edenbridge-Humber Valley,Auto Theft,2015,15829,22,138.9854
Edenbridge-Humber Valley,Auto Theft,2016,15968,28,175.3507
Edenbridge-Humber Valley,Auto Theft,2017,16366,18,109.9841
Edenbridge-Humber Valley,Auto Theft,2018,16788,18,107.2194
Edenbridge-Humber Valley,Auto Theft,2019,17207,23,133.6665
Edenbridge-Humber Valley,Auto Theft,2020,17619,37,210.0006
Edenbridge-Humber Valley,Burglary,2014,15729,43,273.3804
Edenbridge-Humber Valley,Burglary,2015,15829,40,252.7007
Edenbridge-Humber Valley,Burglary,2016,15968,46,288.0761
Edenbridge-Humber Valley,Burglary,2017,16366,42,256.6296
Edenbridge-Humber Valley,Burglary,2018,16788,45,268.0486
Edenbridge-Humber Valley,Burglary,2019,17207,53,308.0142
Edenbridge-Humber Valley,Burglary,2020,17619,23,130.5409
Edenbridge-Humber Valley,Homicide,2014,15729,0,0.0
Edenbridge-Humber Valley,Homicide,2015,15829,0,0.0
Edenbridge-Humber Valley,Homicide,2016,15968,0,0.0
Edenbridge-Humber Valley,Homicide,2017,16366,0,0.0
Edenbridge-Humber Valley,Homicide,2018,16788,0,0.0
Edenbridge-Humber Valley,Homicide,2019,17207,0,0.0
Edenbridge-Humber Valley,Homicide,2020,17619,0,0.0
Edenbridge-Humber Valley,Robbery,2014,15729,6,38.1461
Edenbridge-Humber Valley,Robbery,2016,15968,4,25.0501
Edenbridge-Humber Valley,Robbery,2017,16366,3,18.330679999999997
Edenbridge-Humber Valley,Robbery,2018,16788,5,29.78318
Edenbridge-Humber Valley,Robbery,2019,17207,3,17.43476
Edenbridge-Humber Valley,Robbery,2020,17619,8,45.40553
Edenbridge-Humber Valley,Shootings,2014,15729,0,0.0
Edenbridge-Humber Valley,Shootings,2015,15829,0,0.0
Edenbridge-Humber Valley,Shootings,2016,15968,3,18.78757
Edenbridge-Humber Valley,Shootings,2017,16366,0,0.0
Edenbridge-Humber Valley,Shootings,2018,16788,0,0.0
Edenbridge-Humber Valley,Shootings,2019,17207,2,11.62318
Edenbridge-Humber Valley,Shootings,2020,17619,1,5.6756910000000005
Edenbridge-Humber Valley,Theft Over,2014,15729,3,19.07305
Edenbridge-Humber Valley,Theft Over,2015,15829,4,25.27007
Edenbridge-Humber Valley,Theft Over,2016,15968,2,12.52505
Edenbridge-Humber Valley,Theft Over,2017,16366,4,24.44091
Edenbridge-Humber Valley,Theft Over,2018,16788,5,29.78318
Edenbridge-Humber Valley,Theft Over,2019,17207,10,58.11588
Edenbridge-Humber Valley,Theft Over,2020,17619,1,5.6756910000000005
Eglinton East,Assault,2014,23504,189,804.1185
Eglinton East,Assault,2015,23435,182,776.6161
Eglinton East,Assault,2016,23460,209,890.8781
Eglinton East,Assault,2017,23799,209,878.1882
Eglinton East,Assault,2018,24160,188,778.1457
Eglinton East,Assault,2019,24519,199,811.6155
Eglinton East,Assault,2020,24885,153,614.8282
Eglinton East,Auto Theft,2014,23504,18,76.58270999999999
Eglinton East,Auto Theft,2015,23435,21,89.60956
Eglinton East,Auto Theft,2016,23460,22,93.77664
Eglinton East,Auto Theft,2017,23799,29,121.8539
Eglinton East,Auto Theft,2018,24160,11,45.5298
Eglinton East,Auto Theft,2019,24519,27,110.1187
Eglinton East,Auto Theft,2020,24885,32,128.5915
Eglinton East,Burglary,2014,23504,41,174.4384
Eglinton East,Burglary,2015,23435,76,324.3013
Eglinton East,Burglary,2016,23460,65,277.0674
Eglinton East,Burglary,2017,23799,56,235.304
Eglinton East,Burglary,2018,24160,45,186.2583
Eglinton East,Burglary,2019,24519,58,236.5512
Eglinton East,Burglary,2020,24885,23,92.42516
Eglinton East,Homicide,2014,23504,0,0.0
Eglinton East,Homicide,2015,23435,0,0.0
Eglinton East,Homicide,2016,23460,0,0.0
Eglinton East,Homicide,2017,23799,1,4.201857
Eglinton East,Homicide,2018,24160,1,8.278146000000001
Eglinton East,Homicide,2019,24519,2,8.156939999999999
Eglinton East,Homicide,2020,24885,2,8.03697
Eglinton East,Robbery,2014,23504,68,289.3125
Eglinton East,Robbery,2016,23460,45,191.8159
Eglinton East,Robbery,2017,23799,37,155.4687
Eglinton East,Robbery,2018,24160,36,149.0066
Eglinton East,Robbery,2019,24519,36,146.8249
Eglinton East,Robbery,2020,24885,23,92.42516
Eglinton East,Shootings,2014,23504,1,4.254595
Eglinton East,Shootings,2015,23435,2,8.534244000000001
Eglinton East,Shootings,2016,23460,3,12.78772
Eglinton East,Shootings,2017,23799,10,42.01857
Eglinton East,Shootings,2018,24160,1,4.139073000000001
Eglinton East,Shootings,2019,24519,6,24.47082
Eglinton East,Shootings,2020,24885,11,44.20333
Eglinton East,Theft Over,2014,23504,8,34.03676
Eglinton East,Theft Over,2015,23435,3,12.80137
Eglinton East,Theft Over,2016,23460,6,25.57545
Eglinton East,Theft Over,2017,23799,1,4.201857
Eglinton East,Theft Over,2018,24160,6,24.83444
Eglinton East,Theft Over,2019,24519,8,32.627759999999995
Eglinton East,Theft Over,2020,24885,8,32.14788
Elms-Old Rexdale,Assault,2014,9789,45,459.6997
Elms-Old Rexdale,Assault,2015,9754,50,512.6102
Elms-Old Rexdale,Assault,2016,9746,69,707.9828
Elms-Old Rexdale,Assault,2017,9818,61,621.3078
Elms-Old Rexdale,Assault,2018,9897,56,565.828
Elms-Old Rexdale,Assault,2019,9968,72,722.3114
Elms-Old Rexdale,Assault,2020,10045,48,477.8497
Elms-Old Rexdale,Auto Theft,2014,9789,7,71.50883
Elms-Old Rexdale,Auto Theft,2015,9754,18,184.5397
Elms-Old Rexdale,Auto Theft,2016,9746,16,164.1699
Elms-Old Rexdale,Auto Theft,2017,9818,11,112.0391
Elms-Old Rexdale,Auto Theft,2018,9897,32,323.3303
Elms-Old Rexdale,Auto Theft,2019,9968,28,280.8989
Elms-Old Rexdale,Auto Theft,2020,10045,40,398.2081
Elms-Old Rexdale,Burglary,2014,9789,8,81.72439
Elms-Old Rexdale,Burglary,2015,9754,17,174.2875
Elms-Old Rexdale,Burglary,2016,9746,10,102.6062
